category,subcategory,count
Lonnie Morgan,unknown,11
Lucas Graves,unknown,1
Luke Bennett,unknown,5
MJ Harnish,unknown,6
Marc Bernardin,unknown,1
Marc Gunther,unknown,1
Mario Aguilar,unknown,14
Marisa Meltzer,unknown,1
Mark Anderson,unknown,2
Mark McClusky,unknown,2
Mark Robinson,unknown,1
Mark Vanhoenacker,unknown,1
Mark Woodman,unknown,2
Mary H.K. Choi,unknown,1
Marziah,unknown,28
Mat Honan,unknown,1
Mathew Honan,unknown,6
Matt Alt,unknown,1
Matt Blum,unknown,221
Matt Forbeck,unknown,5
Matt Morgan,unknown,26
Matt Schwartz,unknown,2
Matt Simon,unknown,5
Mattathias Schwartz,unknown,1
Matthew Hutson,unknown,1
Matthew Yglesias,unknown,1
Matthieu Aikins,unknown,1
Max Castera,unknown,10
Megan Geuss,unknown,3
Meghann Myers,unknown,3
Melissa Goldstein,unknown,1
Melissa Maerz,unknown,1
Melissa Wiley,unknown,19
Menaka Wilhelm,unknown,1
Michael Andersen,unknown,32
Michael Behar,unknown,1
Michael Calore,unknown,33
Michael Chorost,unknown,1
Michael Hardy,unknown,1
Michael Harrison,unknown,44
Michael Menduno,unknown,1
Michael V. Copeland,unknown,2
Michael Venables,unknown,44
Michelle Diane McCrary,unknown,8
Mike Olson,unknown,6
Mike Ryan,unknown,4
Mike Selinker,unknown,19
Mike SelinkerEric Harshbarger,unknown,1
Mike Senese,unknown,1
Missy Schwartz,unknown,1
Monica Kim,unknown,1
Movies,movies,1
Music,unknown,2
Music,digital-culture,1
Nadia Drake,unknown,2
Nancy Miller,unknown,1
Natania Barron,unknown,59
Nate Berg,unknown,2
Nathan Barry,unknown,88
Nathan Matisse,unknown,1
Nathan Mattise,unknown,5
National Affairs,unknown,5
National Affairs,tech-culture,1
National Security,security-news,2
National Security,unknown,1
Neal Pollack,unknown,3
Ned Zimmerman-Bence,unknown,1
Nick Veronin,unknown,2
Nick Wadhams,unknown,1
Nicolas Stecher,unknown,1
Nicole Boose,unknown,2
Nicole Wakelin,unknown,62
Noah Shachtman,unknown,8
Olivia Koski,unknown,4
Olivier Knox,unknown,1
Opinion,unknown,590
Opinion,disinformation,1
Opinion,environment-climate-change,1
Opinion,global-elections,1
Opinion,politics-news,1
Oren Katzeff,unknown,1
Outdoor,unknown,1
PEACE TALKS,video-games,1
Pamela Statz,unknown,2
Patricia Vollmer,unknown,68
Patrick Di Justo,unknown,23
Patrick Orndorff,unknown,2
Patton Oswalt,unknown,1
Paul Boutin,unknown,2
Paul Ford,unknown,1
"Paul SabourinGreg ""Storm"" DiCostanzo",unknown,1
Penny Boston,unknown,1
Pete Mortensen,unknown,65
Peter Andrey Smith,unknown,2
Peter Bright,unknown,2
Peter Savodnik,unknown,1
Peter Schwartz,unknown,1
Phones,unknown,2
Photo,unknown,1726
Photo,space,5
Photo,politics-news,4
